<<<<<<< HEAD
,Article identifier (PMID),DrugProt relation,Interactor argument 1,Interactor argument 2
9726,17475673,11,T1,T25
9727,21084778,9,T6,T17
9728,21084778,9,T8,T17
9729,11444497,4,T15,T28
9730,11444497,4,T16,T28
9731,11444497,4,T17,T28
9732,11444497,4,T8,T24
9733,11444497,4,T9,T24
9734,11444497,4,T13,T24
9735,19281809,8,T28,T38
9736,19281809,11,T25,T35
9737,19281809,11,T25,T32
9738,19281809,8,T12,T33
9739,19281809,8,T12,T34
9740,19281809,8,T19,T36
9741,19281809,6,T6,T30
9742,11682453,4,T3,T16
9743,11682453,4,T4,T16
9744,11682453,4,T5,T16
9745,11682453,4,T6,T16
9746,11682453,1,T7,T16
9747,11682453,4,T3,T17
9748,11682453,4,T4,T17
9749,11682453,4,T5,T17
9750,11682453,4,T6,T17
9751,11682453,1,T7,T17
9752,11682453,4,T3,T18
9753,11682453,4,T4,T18
9754,11682453,4,T5,T18
9755,11682453,4,T6,T18
9756,11682453,1,T7,T18
9757,11682453,4,T8,T19
9758,11682453,1,T2,T14
9759,11682453,1,T2,T15
9760,23639626,7,T16,T36
9761,23639626,8,T12,T30
9762,23639626,6,T12,T31
9763,23639626,6,T12,T32
9764,23639626,6,T2,T20
9765,15598972,0,T9,T23
9766,15598972,0,T10,T23
9767,15277241,11,T14,T18
9768,15277241,11,T14,T24
9769,15277241,11,T3,T18
9770,15277241,11,T3,T24
9771,15277241,11,T9,T22
9772,15277241,11,T9,T23
9773,15277241,11,T10,T22
9774,15277241,11,T10,T23
9775,23478802,9,T20,T38
9776,23478802,9,T11,T25
9777,23478802,9,T12,T25
9778,23478802,1,T13,T26
9779,23478802,0,T18,T37
9780,23478802,9,T16,T33
9781,23478802,9,T17,T33
9782,23478802,9,T16,T34
9783,23478802,9,T17,T34
9784,23478802,9,T16,T35
9785,23478802,9,T17,T35
9786,23478802,9,T16,T36
9787,23478802,9,T17,T36
9788,23478802,1,T8,T22
9789,23478802,9,T9,T23
9790,23478802,2,T8,T23
9791,23478802,9,T10,T24
9792,8288265,11,T2,T8
9793,8288265,11,T2,T4
9794,2791302,11,T6,T10
9795,2791302,10,T7,T10
9796,2791302,11,T4,T9
9797,2791302,11,T5,T9
9798,10913016,4,T7,T20
9799,10913016,8,T10,T21
9800,10913016,8,T11,T21
9801,10913016,4,T13,T26
9802,10913016,8,T13,T25
9803,10913016,5,T8,T20
9804,10913016,5,T9,T21
9805,17124432,11,T6,T9
9806,17124432,11,T6,T15
9807,17124432,11,T7,T9
9808,17124432,11,T7,T15
9809,17124432,11,T2,T12
9810,17124432,9,T4,T13
9811,17124432,9,T4,T14
9812,23348499,11,T1,T6
9813,23348499,11,T1,T5
9814,23142599,0,T4,T28
9815,23142599,0,T4,T29
9816,23142599,8,T4,T30
9817,23142599,6,T4,T31
9818,23142599,7,T12,T33
9819,23142599,7,T12,T34
9820,23142599,7,T12,T16
9821,23142599,6,T9,T33
9822,23142599,6,T9,T34
9823,23142599,6,T9,T16
9824,23142599,6,T10,T33
9825,23142599,6,T10,T34
9826,23142599,6,T10,T16
9827,23142599,6,T11,T33
9828,23142599,6,T11,T34
9829,23142599,6,T11,T16
9830,23142599,8,T2,T22
9831,23142599,0,T2,T23
9832,11134654,1,T26,T40
9833,11134654,5,T8,T30
9834,11134654,5,T8,T31
9835,11134654,5,T8,T32
9836,11134654,1,T5,T28
9837,7691623,5,T5,T20
9838,7691623,5,T5,T21
9839,7691623,5,T5,T22
9840,12601049,6,T23,T36
9841,12601049,6,T24,T36
9842,12601049,4,T17,T34
9843,12601049,6,T1,T25
9844,12601049,6,T3,T27
9845,12601049,6,T3,T28
9846,12601049,7,T2,T27
9847,12601049,7,T2,T28
9848,12601049,6,T10,T29
9849,22064666,10,T3,T9
9850,22064666,10,T3,T10
9851,10388743,5,T2,T5
9852,10388743,5,T2,T12
9853,10388743,5,T1,T15
9854,23421757,0,T1,T5
9855,23376608,7,T2,T12
9856,23376608,0,T2,T13
9857,23376608,0,T2,T14
9858,23376608,0,T3,T16
9859,23376608,0,T3,T17
9860,23376608,0,T6,T20
9861,23376608,0,T6,T21
9862,23376608,7,T6,T22
9863,23376608,0,T7,T24
9864,23376608,0,T7,T25
9865,17409426,6,T4,T20
9866,17409426,8,T6,T22
9867,17409426,8,T7,T22
9868,17409426,8,T6,T23
9869,17409426,8,T7,T23
9870,17409426,6,T10,T29
9871,17409426,6,T10,T30
9872,2568212,4,T13,T36
9873,2568212,4,T14,T36
9874,2568212,4,T15,T36
9875,2568212,4,T16,T36
9876,2568212,4,T17,T37
9877,2568212,4,T18,T37
9878,2568212,4,T20,T37
9879,2568212,4,T21,T37
9880,20188727,8,T23,T48
9881,20188727,8,T19,T37
9882,20188727,8,T3,T26
9883,20188727,8,T4,T27
9884,20188727,5,T6,T31
9885,20188727,8,T19,T38
9886,20188727,8,T19,T39
9887,20188727,8,T19,T40
9888,20188727,8,T19,T41
9889,20188727,8,T19,T43
9890,20188727,8,T19,T42
9891,10909982,7,T12,T35
9892,10909982,0,T1,T13
9893,10909982,0,T1,T14
9894,10909982,7,T1,T15
9895,10909982,0,T4,T19
9896,10909982,7,T4,T20
9897,10909982,5,T3,T16
9898,10909982,5,T2,T16
9899,10909982,7,T2,T17
9900,10909982,7,T3,T17
9901,10909982,0,T8,T25
9902,18574460,8,T20,T31
9903,18574460,8,T18,T30
9904,18574460,8,T5,T23
9905,18574460,5,T1,T21
9906,18574460,5,T2,T21
9907,18574460,5,T3,T21
9908,18574460,5,T4,T22
9909,18574460,8,T1,T21
9910,18574460,8,T2,T21
9911,18574460,8,T3,T21
9912,18574460,8,T4,T22
9913,17378158,5,T6,T15
9914,8797532,5,T12,T26
9915,23152189,6,T20,T34
9916,23152189,6,T20,T35
9917,23152189,8,T3,T36
9918,10682471,6,T1,T24
9919,10682471,6,T3,T14
9920,9398183,9,T17,T20
9921,9398183,9,T6,T24
9922,9398183,9,T1,T20
9923,9398183,9,T1,T24
9924,9398183,5,T7,T25
9925,9398183,5,T8,T25
9926,9398183,5,T9,T25
9927,9398183,5,T7,T26
9928,9398183,5,T8,T26
9929,9398183,5,T9,T26
9930,9398183,5,T10,T25
9931,9398183,5,T10,T26
9932,9398183,5,T11,T25
9933,9398183,5,T11,T26
9934,9398183,5,T12,T25
9935,9398183,5,T12,T26
9936,9398183,8,T16,T27
9937,9398183,8,T16,T28
9938,9398183,8,T16,T29
9939,9398183,8,T16,T30
9940,9398183,5,T18,T30
9941,9398183,8,T2,T19
9942,9398183,8,T4,T21
9943,9398183,5,T5,T23
9944,9398183,5,T5,T22
9945,23047001,8,T6,T14
9946,23047001,8,T6,T13
9947,23047001,8,T7,T13
9948,23047001,8,T7,T14
9949,23047001,5,T8,T13
9950,23047001,5,T8,T14
9951,23047001,5,T1,T9
9952,23047001,5,T1,T10
9953,23047001,8,T2,T11
9954,23047001,8,T3,T11
9955,23047001,5,T4,T11
9956,15557593,8,T5,T17
9957,15557593,8,T6,T17
9958,15557593,8,T6,T18
9959,15557593,8,T7,T8
9960,15557593,8,T5,T19
9961,15557593,8,T6,T19
9962,15557593,8,T5,T18
9963,15557593,8,T6,T19
9964,7739347,8,T15,T21
9965,7739347,5,T1,T16
9966,7739347,8,T1,T17
9967,7739347,8,T3,T17
9968,7739347,8,T4,T19
9969,7739347,8,T5,T19
9970,23155049,9,T2,T31
9971,1386491,8,T9,T17
9972,1386491,8,T1,T13
9973,1386491,8,T1,T15
9974,1386491,7,T4,T12
9975,1386491,7,T7,T16
9976,23229512,5,T12,T26
9977,23229512,5,T6,T16
9978,23229512,5,T12,T27
9979,23229512,7,T7,T22
9980,23229512,7,T7,T23
9981,23229512,9,T10,T24
9982,23229512,5,T8,T24
9983,23229512,5,T9,T24
9984,8001268,4,T26,T29
9985,8001268,4,T27,T29
9986,8001268,4,T23,T29
9987,8001268,4,T24,T29
9988,8001268,4,T21,T28
9989,8001268,4,T1,T28
9990,8001268,4,T4,T28
9991,8001268,4,T10,T28
9992,8001268,4,T11,T28
9993,8001268,4,T12,T28
9994,23273999,11,T12,T21
9995,23273999,11,T13,T21
9996,23273999,0,T1,T23
9997,23273999,0,T2,T23
9998,23273999,0,T3,T23
9999,23273999,0,T4,T23
10000,23273999,0,T5,T23
10001,23273999,0,T6,T23
10002,23273999,0,T7,T23
10003,23273999,0,T8,T23
10004,23273999,0,T9,T23
10005,23273999,0,T10,T23
10006,23273999,0,T11,T23
10007,23267840,11,T13,T24
10008,23313663,6,T9,T11
10009,10200266,9,T1,T12
10010,10200266,9,T1,T9
10011,10200266,9,T1,T15
10012,23435541,8,T14,T27
10013,23435541,8,T14,T28
10014,23435541,8,T14,T29
10015,23435541,8,T16,T30
10016,23435541,8,T16,T31
10017,23435541,8,T16,T32
10018,23435541,8,T1,T33
10019,23435541,8,T9,T25
10020,23435541,8,T10,T25
10021,23435541,8,T11,T25
10022,12751792,9,T4,T21
10023,12751792,9,T4,T19
10024,12751792,9,T4,T20
10025,14757700,0,T35,T55
10026,14757700,0,T35,T40
10027,14757700,0,T35,T51
10028,14757700,0,T1,T55
10029,14757700,0,T1,T40
10030,14757700,0,T1,T51
10031,14757700,0,T7,T55
10032,14757700,0,T7,T40
10033,14757700,0,T7,T51
10034,14757700,4,T11,T41
10035,14757700,4,T12,T41
10036,14757700,4,T13,T41
10037,14757700,8,T11,T42
10038,14757700,8,T12,T42
10039,14757700,8,T13,T42
10040,14757700,0,T14,T42
10041,14757700,1,T16,T45
10042,14757700,0,T17,T46
10043,14757700,0,T18,T46
10044,14757700,0,T16,T44
10045,12615691,0,T7,T11
10046,12615691,4,T3,T12
10047,12615691,4,T4,T12
10048,15866114,6,T2,T10
10049,15866114,8,T2,T10
10050,23164615,1,T2,T11
10051,23164615,1,T3,T11
10052,20223979,5,T4,T18
10053,20223979,8,T4,T19
10054,17015480,5,T13,T38
10055,17015480,0,T1,T18
10056,17015480,5,T2,T20
10057,17015480,7,T8,T29
10058,17015480,8,T4,T26
10059,17015480,7,T3,T23
10060,17015480,7,T3,T24
10061,23043137,9,T4,T13
10062,23043137,9,T3,T12
10063,23043137,0,T2,T11
10064,23043137,5,T5,T24
10065,23043137,5,T6,T26
10066,23043137,5,T1,T27
10067,23200901,11,T27,T48
10068,23200901,11,T28,T48
10069,23200901,11,T29,T48
10070,23200901,8,T20,T45
10071,23200901,8,T21,T45
10072,23200901,8,T22,T46
10073,23200901,8,T23,T47
10074,23200901,11,T5,T34
10075,23200901,11,T6,T34
10076,23200901,11,T7,T34
10077,23374869,8,T24,T32
10078,23374869,8,T10,T26
10079,23374869,8,T10,T27
10080,23374869,8,T11,T26
10081,23374869,8,T11,T27
10082,23374869,8,T4,T28
10083,23374869,8,T5,T28
10084,23374869,8,T12,T31
10085,23374869,8,T22,T25
10086,23282998,0,T11,T23
10087,23358258,8,T1,T7
10088,23358258,8,T1,T8
10089,23358258,8,T5,T7
10090,23358258,8,T5,T8
10091,23074173,7,T3,T22
10092,23074173,8,T15,T29
10093,23074173,7,T3,T23
10094,23074173,7,T3,T24
10095,23074173,7,T3,T25
10096,23074173,6,T3,T26
10097,23074173,8,T16,T29
10098,23146838,8,T4,T17
10099,11156594,5,T19,T24
10100,11156594,5,T9,T24
10101,11156594,5,T2,T25
10102,11156594,5,T2,T23
10103,11156594,5,T3,T25
10104,11156594,5,T3,T23
10105,11156594,5,T5,T26
10106,11156594,5,T6,T26
10107,11383749,8,T10,T23
10108,11383749,6,T6,T17
10109,11383749,6,T3,T17
10110,11383749,8,T2,T12
10111,11383749,6,T2,T13
10112,23008503,8,T5,T21
10113,23008503,8,T6,T21
10114,23008503,8,T7,T22
10115,23008503,8,T8,T22
10116,23008503,6,T4,T14
10117,23583009,0,T12,T33
10118,23583009,8,T16,T37
10119,23583009,11,T18,T37
10120,23583009,8,T5,T30
10121,22841391,7,T5,T12
10122,22841391,7,T5,T13
10123,22841391,6,T5,T14
10124,22841391,6,T5,T15
10125,22841391,6,T5,T16
10126,22841391,6,T5,T17
10127,23636640,8,T8,T18
10128,23636640,8,T4,T15
10129,23636640,8,T3,T11
10130,2922761,7,T34,T47
10131,2922761,7,T36,T39
10132,2922761,7,T5,T41
10133,2922761,7,T6,T41
10134,2922761,7,T7,T41
10135,2922761,6,T11,T42
10136,2922761,6,T12,T42
10137,2922761,6,T13,T42
10138,2922761,7,T15,T43
10139,2922761,7,T16,T43
10140,12185406,8,T3,T20
10141,12185406,8,T3,T22
10142,12185406,5,T2,T16
10143,12185406,5,T5,T17
10144,12185406,5,T7,T19
10145,12185406,5,T12,T23
10146,12185406,5,T1,T14
10147,12185406,5,T4,T15
10148,9610840,8,T1,T34
10149,9610840,7,T4,T32
10150,9610840,11,T5,T34
10151,9610840,11,T10,T34
10152,9610840,10,T13,T34
10153,9610840,10,T14,T34
10154,23177789,8,T5,T13
10155,23177789,8,T6,T13
10156,23177789,8,T4,T13
10157,23378608,8,T1,T4
10158,23201124,9,T1,T15
10159,16205624,4,T3,T12
10160,23628509,7,T1,T24
10161,23628509,7,T2,T24
10162,23628509,7,T3,T24
10163,23628509,7,T4,T25
10164,23628509,6,T5,T26
10165,23628509,6,T6,T26
10166,23481595,5,T2,T7
10167,23481595,5,T3,T7
10168,2453744,4,T1,T9
10169,2453744,1,T1,T10
10170,11245456,10,T1,T8
10171,11245456,10,T1,T12
10172,11245456,11,T3,T17
10173,1712335,4,T27,T34
10174,1712335,8,T23,T45
10175,1712335,0,T24,T45
10176,1712335,8,T25,T46
10177,1712335,8,T1,T31
10178,1712335,8,T2,T32
10179,1712335,4,T5,T35
10180,1712335,0,T8,T37
10181,1712335,0,T8,T38
10182,1712335,11,T10,T38
10183,1712335,8,T11,T38
10184,1712335,4,T12,T39
10185,1712335,4,T15,T40
10186,1712335,4,T16,T41
10187,1712335,4,T19,T44
10188,12411515,8,T40,T56
10189,12411515,8,T41,T56
10190,12411515,8,T42,T56
10191,12411515,8,T40,T57
10192,12411515,8,T41,T57
10193,12411515,8,T42,T57
10194,12411515,8,T27,T50
10195,12411515,8,T28,T50
10196,12411515,8,T27,T51
10197,12411515,8,T28,T51
10198,12411515,11,T37,T54
10199,12411515,11,T37,T55
10200,12411515,11,T38,T54
10201,12411515,11,T38,T55
10202,12411515,11,T39,T54
10203,12411515,11,T39,T55
10204,12411515,8,T1,T45
10205,12411515,8,T2,T45
10206,12411515,8,T3,T45
10207,12411515,8,T6,T46
10208,12411515,8,T9,T47
10209,12411515,8,T10,T47
10210,12411515,8,T11,T47
10211,12411515,8,T9,T48
10212,12411515,8,T10,T48
10213,12411515,8,T11,T48
10214,12411515,8,T17,T49
10215,12411515,8,T18,T49
10216,12411515,8,T19,T49
10217,8738610,8,T4,T12
10218,23071106,8,T1,T49
10219,23071106,8,T1,T51
10220,23071106,8,T1,T52
10221,23071106,7,T1,T42
10222,23071106,7,T20,T48
10223,23071106,7,T21,T48
10224,23071106,6,T22,T48
10225,23071106,8,T24,T50
10226,23071106,6,T24,T48
10227,23071106,7,T25,T48
10228,23071106,0,T31,T53
10229,23071106,0,T32,T53
10230,23071106,0,T33,T54
10231,23071106,7,T8,T43
10232,23071106,7,T7,T43
10233,23071106,6,T9,T43
10234,23071106,8,T10,T44
10235,23071106,7,T10,T43
10236,23071106,0,T14,T45
10237,23042953,9,T10,T16
10238,23042953,11,T9,T15
10239,23042953,11,T5,T12
10240,23042953,11,T7,T14
10241,23042953,11,T3,T13
10242,9836297,1,T33,T42
10243,9836297,8,T29,T37
10244,9836297,1,T33,T37
10245,9836297,8,T29,T40
10246,9836297,9,T25,T41
10247,9836297,9,T16,T39
10248,9836297,9,T17,T39
10249,3334987,5,T38,T50
10250,3334987,5,T3,T41
10251,3334987,6,T4,T44
10252,3334987,6,T5,T44
10253,3334987,6,T6,T44
10254,3334987,6,T7,T44
10255,3334987,6,T8,T44
10256,3334987,6,T9,T44
10257,3334987,6,T10,T44
10258,3334987,7,T4,T45
10259,3334987,7,T5,T45
10260,3334987,7,T6,T45
10261,3334987,7,T7,T45
10262,3334987,7,T8,T45
10263,3334987,7,T9,T45
10264,3334987,7,T10,T45
10265,17554001,11,T6,T19
10266,17554001,11,T7,T19
10267,17554001,11,T6,T20
10268,17554001,11,T7,T20
10269,17554001,11,T9,T22
10270,17554001,11,T9,T21
10271,17554001,11,T10,T22
10272,17554001,11,T10,T21
10273,17554001,11,T13,T23
10274,17554001,11,T14,T31
10275,17554001,11,T1,T15
10276,17554001,11,T3,T17
10277,17554001,11,T5,T18
10278,23473037,9,T1,T8
10279,23473037,9,T2,T8
10280,23473037,10,T3,T10
10281,14761877,7,T2,T17
10282,14761877,7,T2,T18
10283,14761877,7,T3,T20
10284,14761877,7,T9,T34
10285,23377617,10,T20,T31
10286,23377617,10,T20,T32
10287,23471769,1,T1,T13
10288,23471769,1,T3,T13
10289,23471769,1,T7,T14
10290,23562928,10,T8,T30
10291,23562928,10,T3,T11
10292,23562928,10,T3,T12
10293,23562928,10,T4,T11
10294,23562928,10,T4,T12
10295,15794712,8,T5,T14
10296,15794712,8,T5,T15
10297,15794712,8,T5,T16
10298,15794712,8,T5,T17
10299,15794712,8,T5,T18
10300,23401472,11,T4,T9
10301,23401472,11,T5,T9
10302,23401472,7,T1,T11
10303,23401472,7,T2,T11
10304,23401472,7,T3,T13
10305,23401472,9,T7,T20
10306,15705795,8,T15,T36
10307,15705795,8,T16,T36
10308,15705795,8,T15,T37
10309,15705795,8,T16,T37
10310,15705795,8,T19,T38
10311,15705795,8,T20,T38
10312,15705795,8,T21,T38
10313,10076535,4,T45,T63
10314,10076535,4,T46,T63
10315,10076535,4,T44,T63
10316,10076535,5,T4,T48
10317,10076535,5,T2,T48
10318,10076535,5,T3,T48
10319,10076535,6,T18,T49
10320,10076535,6,T18,T51
10321,10076535,8,T19,T52
10322,10076535,8,T18,T52
10323,10076535,6,T19,T49
10324,10076535,6,T18,T50
10325,10076535,6,T19,T50
10326,10076535,6,T19,T51
10327,10076535,8,T21,T53
10328,10076535,6,T22,T54
10329,10076535,5,T23,T55
10330,10076535,7,T23,T56
10331,10076535,1,T24,T57
10332,10076535,4,T27,T58
10333,10076535,4,T26,T58
10334,14719072,8,T22,T39
10335,23526814,7,T3,T13
10336,23526814,8,T9,T15
10337,23526814,8,T2,T10
10338,23526814,8,T4,T10
10339,23526814,8,T6,T10
10340,23526814,8,T8,T10
10341,23526814,8,T1,T10
10342,23526814,8,T2,T11
10343,23526814,8,T4,T11
10344,23526814,8,T6,T11
10345,23526814,8,T8,T11
10346,23526814,8,T1,T11
10347,23353701,8,T8,T31
10348,23353701,8,T9,T31
10349,23353701,8,T8,T32
10350,23353701,8,T9,T32
10351,23353701,11,T13,T31
10352,23353701,11,T13,T32
10353,23353701,8,T1,T18
10354,23353701,6,T15,T33
10355,23353701,8,T15,T34
10356,23353701,6,T1,T19
10357,23353701,6,T1,T20
10358,23353701,6,T1,T21
10359,23353701,8,T3,T22
10360,23353701,8,T4,T22
10361,19344392,8,T4,T20
10362,19344392,8,T5,T20
10363,19344392,8,T6,T20
10364,23225780,8,T2,T7
10365,23402856,7,T3,T27
10366,23402856,7,T5,T27
10367,23402856,7,T18,T28
10368,23402856,7,T19,T28
10369,23402856,7,T18,T29
10370,23402856,7,T19,T29
10371,2877081,4,T17,T21
10372,2877081,4,T1,T19
10373,2877081,4,T2,T19
10374,23234271,1,T6,T9
10375,23234271,1,T2,T7
10376,23183374,11,T2,T8
10377,23183374,10,T4,T8
10378,23183374,9,T5,T26
10379,23183374,11,T1,T11
10380,23380477,7,T1,T15
10381,23380477,6,T4,T20
10382,21058326,4,T8,T17
10383,21058326,4,T6,T16
10384,23439661,8,T1,T15
10385,23439661,8,T11,T15
10386,10418858,6,T1,T5
10387,23605050,7,T10,T31
10388,23605050,7,T10,T32
10389,23605050,6,T10,T33
10390,23605050,0,T13,T17
10391,23605050,0,T14,T17
10392,23605050,7,T1,T18
10393,23605050,7,T1,T19
10394,23605050,7,T2,T19
10395,23605050,7,T2,T18
10396,23271742,6,T5,T25
10397,23271742,6,T6,T27
10398,23271742,0,T7,T30
10399,23271742,7,T7,T31
10400,23271742,6,T1,T11
10401,23271742,6,T3,T14
10402,23271742,6,T3,T16
10403,19897080,9,T8,T29
10404,19897080,9,T9,T29
10405,19897080,9,T10,T29
10406,10207608,0,T14,T29
10407,10207608,8,T15,T29
10408,10207608,6,T14,T30
10409,10207608,6,T14,T31
10410,10207608,6,T15,T30
10411,10207608,6,T15,T31
10412,10207608,8,T1,T18
10413,10207608,8,T2,T18
10414,10207608,8,T3,T18
10415,10207608,8,T4,T18
10416,10207608,6,T5,T22
10417,10207608,6,T6,T22
10418,10207608,6,T8,T23
10419,10207608,6,T9,T23
10420,10207608,8,T10,T25
10421,10207608,8,T11,T25
10422,10207608,6,T10,T24
10423,10207608,6,T11,T24
10424,10207608,8,T12,T27
10425,10207608,8,T13,T27
10426,10207608,6,T12,T28
10427,10207608,6,T13,T28
10428,15618715,8,T6,T20
10429,15618715,8,T7,T20
10430,15618715,8,T8,T20
10431,15618715,8,T9,T22
10432,15618715,8,T10,T22
10433,15618715,8,T11,T24
10434,15618715,8,T11,T25
10435,15618715,8,T1,T24
10436,15618715,8,T1,T25
10437,15618715,8,T2,T12
10438,15618715,8,T3,T12
10439,23430109,8,T3,T24
10440,23430109,8,T4,T24
10441,23430109,8,T5,T24
10442,23430109,8,T6,T25
10443,23430109,8,T7,T25
10444,23430109,9,T15,T31
10445,23430109,9,T16,T31
10446,15629255,4,T10,T23
10447,15629255,4,T10,T24
10448,15629255,4,T4,T17
10449,11860175,8,T3,T14
10450,11069618,11,T1,T6
10451,11069618,10,T2,T6
10452,19503773,8,T6,T15
10453,19503773,8,T6,T16
10454,19503773,8,T6,T17
10455,23419388,4,T4,T16
10456,23419388,4,T5,T16
10457,16426349,8,T1,T8
10458,16426349,8,T1,T10
10459,16426349,8,T4,T8
10460,16426349,8,T4,T10
10461,2567596,4,T2,T22
10462,2567596,4,T4,T18
10463,2567596,1,T8,T20
10464,2567596,5,T3,T16
10465,2567596,5,T3,T17
10466,23014761,8,T2,T9
10467,23014761,8,T2,T10
10468,14741265,8,T8,T10
10469,23500772,0,T11,T25
10470,23500772,0,T1,T15
10471,23500772,0,T2,T15
10472,23500772,6,T6,T20
10473,23500772,7,T9,T23
10474,23500772,7,T9,T24
10475,23395652,8,T1,T8
10476,23395652,8,T2,T10
10477,8626538,9,T14,T39
10478,8626538,9,T14,T40
10479,8626538,9,T10,T33
10480,8626538,9,T11,T33
10481,8626538,0,T2,T19
10482,23360412,8,T19,T27
10483,15975002,8,T1,T30
10484,15975002,8,T4,T30
10485,15975002,8,T13,T30
10486,15975002,8,T1,T31
10487,15975002,8,T4,T31
10488,15975002,8,T13,T31
10489,15975002,8,T16,T32
10490,15975002,0,T17,T32
10491,15975002,5,T18,T22
10492,15975002,5,T19,T22
10493,15975002,5,T20,T22
10494,15975002,7,T2,T23
10495,15975002,7,T3,T23
10496,11470741,8,T15,T35
10497,11470741,8,T1,T31
10498,11470741,10,T3,T31
10499,11470741,10,T8,T31
10500,11470741,10,T10,T31
10501,11470741,10,T11,T31
10502,11470741,10,T12,T31
10503,11470741,8,T2,T23
10504,11470741,8,T2,T24
10505,11470741,6,T2,T25
10506,11470741,6,T2,T26
10507,23500382,6,T19,T22
10508,23500382,6,T19,T23
10509,23500382,6,T13,T24
10510,23500382,6,T13,T25
10511,23500382,6,T13,T26
10512,23500382,6,T13,T27
10513,23500382,6,T13,T28
10514,23500382,6,T13,T29
10515,23305444,8,T3,T15
10516,23305444,8,T1,T7
10517,23305444,8,T1,T8
10518,23311288,11,T2,T6
10519,23311288,11,T2,T8
10520,23311288,8,T3,T11
10521,23311288,8,T4,T11
10522,22619007,6,T5,T11
10523,22619007,7,T7,T12
10524,22619007,7,T7,T13
10525,1284246,9,T5,T23
10526,1284246,9,T5,T25
10527,1284246,9,T5,T17
10528,1284246,9,T5,T18
10529,1284246,11,T3,T23
10530,1284246,11,T3,T25
10531,1284246,11,T3,T17
10532,1284246,11,T3,T18
10533,1284246,11,T3,T21
10534,1284246,9,T6,T22
10535,1284246,9,T7,T22
10536,1284246,9,T8,T22
10537,1284246,9,T9,T22
10538,1284246,9,T10,T22
10539,1284246,9,T11,T22
10540,1284246,9,T15,T28
10541,1284246,9,T15,T16
10542,1284246,9,T13,T26
10543,1284246,9,T14,T26
10544,15367040,5,T1,T4
10545,15367040,5,T1,T5
10546,23618899,6,T9,T35
10547,23618899,6,T9,T36
10548,23618899,6,T2,T13
10549,23618899,6,T2,T14
10550,23618899,6,T2,T15
10551,23333640,0,T13,T23
10552,23333640,0,T13,T24
10553,15292070,8,T1,T2
10554,18773878,10,T13,T19
10555,18773878,10,T13,T22
10556,18773878,8,T16,T29
10557,18773878,7,T7,T23
10558,18773878,7,T7,T24
10559,18773878,7,T7,T25
10560,18773878,7,T7,T26
10561,8344937,5,T5,T39
10562,8344937,5,T5,T40
10563,8344937,5,T1,T7
10564,8344937,5,T1,T8
10565,8344937,5,T2,T6
10566,8344937,5,T2,T23
10567,8344937,5,T2,T38
10568,8344937,5,T2,T11
10569,8344937,5,T2,T17
10570,8344937,5,T2,T18
10571,8344937,5,T2,T19
10572,8344937,5,T2,T20
10573,8344937,5,T2,T21
10574,8344937,5,T3,T30
10575,8344937,5,T3,T31
10576,10530931,4,T5,T11
10577,10530931,4,T4,T11
10578,10530931,4,T2,T10
10579,23616352,5,T3,T10
10580,23616352,5,T3,T11
10581,23616352,5,T3,T4
10582,17390078,8,T6,T30
10583,17390078,7,T1,T13
10584,17390078,7,T1,T14
10585,17390078,7,T1,T15
10586,17390078,7,T1,T16
10587,17390078,7,T1,T18
10588,17390078,7,T1,T19
10589,17390078,7,T1,T20
10590,17390078,7,T1,T21
10591,17390078,7,T1,T22
10592,23357565,4,T17,T30
10593,23357565,8,T14,T29
10594,23178380,0,T1,T7
10595,15229223,8,T18,T45
10596,15229223,8,T14,T28
10597,15229223,4,T17,T35
10598,15229223,5,T17,T36
10599,15229223,5,T17,T37
10600,15229223,5,T17,T38
10601,15229223,5,T17,T39
10602,15229223,5,T17,T40
10603,15229223,5,T17,T41
10604,23295740,6,T15,T31
10605,23295740,6,T12,T25
10606,23295740,6,T4,T20
10607,23295740,6,T3,T19
10608,23295740,7,T1,T28
10609,23295740,7,T1,T29
10610,23295740,6,T1,T16
10611,11791081,5,T22,T25
10612,11791081,5,T21,T25
10613,23245513,5,T13,T18
10614,23245513,5,T13,T19
10615,23245513,11,T9,T16
10616,23245513,11,T9,T17
10617,23159986,7,T6,T26
10618,23159986,7,T1,T15
10619,23159986,7,T2,T16
10620,23159986,7,T2,T17
10621,23159986,7,T2,T18
10622,23159986,7,T4,T21
10623,23159986,7,T4,T22
10624,23159986,7,T4,T23
10625,23159986,7,T4,T24
10626,23159986,7,T4,T25
10627,23159986,7,T6,T27
10628,23159986,7,T6,T28
10629,23159986,7,T6,T29
10630,23159986,7,T6,T30
10631,23159986,7,T6,T31
10632,23607712,5,T21,T29
10633,23607712,5,T22,T29
10634,23607712,5,T8,T26
10635,23607712,5,T9,T26
10636,23607712,5,T10,T27
10637,23607712,5,T11,T27
10638,23607712,5,T19,T28
10639,23607712,5,T20,T28
10640,23607712,5,T3,T25
10641,23607712,5,T4,T25
10642,23607712,5,T5,T25
10643,23178381,6,T15,T31
10644,23178381,9,T16,T32
10645,23178381,9,T17,T33
10646,23178381,8,T3,T25
10647,23178381,8,T15,T32
10648,23178381,8,T15,T33
10649,23178381,7,T15,T34
10650,23178381,7,T15,T20
10651,16523405,9,T4,T5
10652,23554428,11,T1,T30
10653,23554428,11,T3,T25
10654,23554428,11,T16,T26
10655,23554428,11,T16,T27
